,0
0,Goran Dragic
1,Duncan Robinson
2,Jarrett Allen
3,Nicolas Batum
4,Monte Morris
5,Markieff Morris
6,Trey Burke
7,Dwight Powell
8,Bobby Portis
9,Will Barton
10,Avery Bradley
11,D.J. Augustin
12,Josh Hart
13,Sam Merrill
14,Brad Wanamaker
15,Maxi Kleber
16,Precious Achiuwa
17,D.J. Wilson
18,James Johnson
19,Damion Lee
20,Lou Williams
21,Isaiah Hartenstein
22,Grant Williams
23,Semi Ojeleye
24,Kentavious Caldwell-Pope
25,DeAndre Jordan
26,Alex Caruso
27,Dorian Finney-Smith
28,Tristan Thompson
29,Patrick Beverley
30,Luke Kennard
31,Bryn Forbes
32,Andre Iguodala
33,Brook Lopez
34,Patrick Patterson
35,Talen Horton-Tucker
36,Meyers Leonard
37,Jordan Poole
38,Landry Shamet
39,Joe Harris
40,Boban Marjanovic
41,Paul Millsap
42,PJ Dozier
43,Pat Connaughton
44,Payton Pritchard
45,Timothe Luwawu-Cabarrot
46,Eric Paschall
47,Reggie Jackson
48,Marc Gasol
49,Alfonzo McKinnie
50,Thanasis Antetokounmpo
51,Tyler Johnson
52,Tyrell Terry
53,Mychal Mulder
54,Jordan Nwora
55,Daniel Theis
56,Marquese Chriss
57,Taurean Prince
58,Wesley Iwundu
59,J.J. Redick
60,Juan Toscano-Anderson
61,Jeff Green
62,Jared Dudley
63,Javonte Green
64,Terance Mann
65,Kevon Looney
66,Wesley Matthews
67,Aaron Nesmith
68,Reggie Perry
69,Bruce Brown
70,Amir Coffey
71,Josh Green
72,Mfiondu Kabengele
73,KZ Okpala
74,Daniel Oturu
75,Chris Silva
76,Maurice Harkless
77,Jaxson Hayes
78,Bol Bol
79,Quinn Cook
80,Carsen Edwards
81,Markus Howard
82,Rodions Kurucs
83,Facundo Campazzo
84,Willie Cauley-Stein
85,Tremont Waters
86,Kent Bazemore
87,Eric Bledsoe
88,Jalen Brunson
89,Gary Harris
90,Torrey Craig
91,Nicolo Melli
92,Jeff Teague
93,Patty Mills
94,Kyle Anderson
95,Cedi Osman
96,Jae Crowder
97,Jordan Clarkson
98,Kevin Huerter
99,Alec Burks
100,Darius Bazley
101,Jarrett Culver
102,Mitchell Robinson
103,Luguentz Dort
104,Mike Muscala
105,Nathan Knight
106,Nemanja Bjelica
107,Tomas Satoransky
108,Grayson Allen
109,Denzel Valentine
110,Enes Kanter
111,Jae'Sean Tate
112,Doug McDermott
113,Hassan Whiteside
114,Aron Baynes
115,Danny Green
116,Dwight Howard
117,Isaac Bonga
118,John Konchar
119,Raul Neto
120,Bismack Biyombo
121,T.J. McConnell
122,Sviatoslav Mykhailiuk
123,Cole Anthony
124,David Nwaba
125,Danuel House
126,Caleb Martin
127,Josh Okogie
128,Jakob Poeltl
129,Kevin Knox
130,Ryan Arcidiacono
131,Glenn Robinson
132,Anfernee Simons
133,Khem Birch
134,Royce O'Neale
135,Sterling Brown
136,Derrick Jones
137,Wendell Carter
138,Dante Exum
139,Cameron Payne
140,Lonnie Walker
141,Garrett Temple
142,Hamidou Diallo
143,Coby White
144,Kenrich Williams
145,Devin Vassell
146,Dwayne Bacon
147,Naz Reid
148,Michael Carter-Williams
149,Jahlil Okafor
150,Deni Avdija
151,Justin Holiday
152,Cameron Johnson
153,Josh Jackson
154,Derrick Favors
155,Matt Thomas
156,Desmond Bane
157,Trey Lyles
158,Ish Smith
159,Patrick Williams
160,Robin Lopez
161,Davis Bertans
162,Bojan Bogdanovic
163,Daniel Gafford
164,Solomon Hill
165,Nerlens Noel
166,Rudy Gay
167,JaVale McGee
168,Rodney Hood
169,Bruno Fernando
170,Kelan Martin
171,Brandon Goodwin
172,Chuma Okeke
173,Carmelo Anthony
174,Aaron Holiday
175,Joe Ingles
176,Reggie Bullock
177,Shake Milton
178,P.J. Tucker
179,Tyrese Maxey
180,Cody Martin
181,Gorgui Dieng
182,Dennis Smith
183,Chandler Hutchison
184,Matisse Thybulle
185,Jake Layman
186,Cassius Stanley
187,Georges Niang
188,Jalen McDaniels
189,Mike Scott
190,Brodric Thomas
191,Cam Reddish
192,Tyus Jones
193,Jalen Lecque
194,Damian Jones
195,Ed Davis
196,Juwan Morgan
197,Jalen Smith
198,DeAndre' Bembry
199,Bruno Caboclo
200,Theo Maledon
201,JaKarr Sampson
202,Brandon Clarke
203,Juan Hernangomez
204,Jevon Carter
205,Frank Ntilikina
206,Frank Kaminsky
207,Gary Trent
208,Norman Powell
209,Theo Pinson
210,Saddiq Bey
211,Langston Galloway
212,Cory Joseph
213,Killian Hayes
214,Sekou Doumbouya
215,Adam Mokoka
216,Elfrid Payton
217,Aleksej Pokusevski
218,Troy Brown
219,Furkan Korkmaz
220,Jerome Robinson
221,Isaac Okoro
222,Robert Williams
223,Jarred Vanderbilt
224,Jaden McDaniels
225,Dakota Mathias
226,Kyle Guy
227,Tony Bradley
228,Isaiah Joe
229,Jordan McLaughlin
230,Damyean Dotson
231,Ignas Brazdeikis
232,Jahmi'us Ramsey
233,Lamar Stevens
234,Marques Bolden
235,Dean Wade
236,Thon Maker
237,Justin James
238,Robert Woodard
239,Ty-Shon Alexander
240,Jared Harper
241,Gary Clark
242,Terrance Ferguson
243,Kostas Antetokounmpo
244,Cody Zeller
245,Immanuel Quickley
246,Kelly Olynyk
247,Moritz Wagner
248,Miye Oni
249,Harry Giles
250,Elijah Hughes
251,Udoka Azubuike
252,CJ Elleby
253,De'Anthony Melton
254,Nickeil Alexander-Walker
255,Dylan Windler
256,Shaquille Harrison
257,Stanley Johnson
258,Kendrick Nunn
259,Malachi Flynn
260,Terence Davis
261,Skylar Mays
262,Keljin Blevins
263,JaMychal Green
264,Isaiah Stewart
265,Derrick White
266,Thaddeus Young
267,Garrison Mathews
268,Devon Dotson
269,Cristiano Felicio
270,Nick Richards
271,Anthony Gill
272,Luke Kornet
273,Drew Eubanks
274,R.J. Hampton
275,Sean McDermott
276,Chris Chiozza
277,Anzejs Pasecniks
278,Eric Gordon
279,Alex Len
280,Austin Rivers
281,DeMarcus Cousins
282,Jordan Bone
283,Isaiah Roby
284,Sindarius Thornwell
285,Yuta Watanabe
286,Vincent Poirier
287,Kira Lewis
288,Edmond Sumner
289,Dario Saric
290,Moses Brown
291,Paul Watson
292,Karim Mane
293,Josh Hall
294,Rajon Rondo
295,Wayne Ellington
296,Zeke Nnaji
297,Vlatko Cancar
298,Gabe Vincent
299,Tacko Fall
300,Tre Jones
301,Vernon Carey
302,Keita Bates-Diop
303,Luka Samanic
304,Max Strus
305,Justin Jackson
306,Willy Hernangomez
307,E'Twaun Moore
